genre,super_genre
j-rap,Hip Hop/Rap
trap soul,Hip Hop/Rap
indie pop,Pop
nederpop,Pop
highlife,World/Traditional
Grunge,Rock
texas country,Country/Americana
electronic,Ambient & Experimental Electronic
norteño,Latin
j-rock,Rock
Nu-Disco,Funk/Disco
latin alternative,Latin
Free Jazz,Jazz
entehno,World/Traditional
Grime,Bass Music
indie electronic,Ambient & Experimental Electronic
Dark Ambient,Ambient & Experimental Electronic
horror punk,Punk/Hardcore
Tropical House,Electronic Dance Music (EDM)
Cloud Rap,Hip Hop/Rap
Black Metal,Metal
electrocumbia,Latin
nz reggae,Reggae/Caribbean
urbano latino,Latin
Tribal,World/Traditional
gospel,R&B/Soul
techengue,Electronic Dance Music (EDM)
grindcore,Metal
Dancehall,Reggae/Caribbean
aussie drill,Hip Hop/Rap
soft pop,Pop
bollywood,World/Traditional
Stoner Rock,Rock
Glitch,Ambient & Experimental Electronic
latin pop,Latin
Big Beat,Electronic Dance Music (EDM)
azonto,World/Traditional
latin indie,Latin
zydeco,Country/Americana
bhajan,World/Traditional
sufi,World/Traditional
Post-Hardcore,Punk/Hardcore
Drone,Ambient & Experimental Electronic
ethiopian jazz,Jazz
melodic death metal,Metal
latin folk,Latin
Krautrock,Rock
freestyle,Hip Hop/Rap
pop soul,R&B/Soul
brooklyn drill,Hip Hop/Rap
Thug Rap,Hip Hop/Rap
Chiptune,Electronic Dance Music (EDM)
Afrobeat,World/Traditional
christian hip hop,Hip Hop/Rap
Schlager,Pop
AOR,Rock
Italo-Disco,Funk/Disco
norwegian pop,Pop
Military,Classical/Orchestral
new orleans bounce,Hip Hop/Rap
Nu Metal,Metal
grupera,Latin
Religious,R&B/Soul
Neofolk,Folk/Acoustic
japanese vgm,Soundtrack/Instrumental
Ethereal,New Age/Meditation
trap latino,Latin
Music Hall,Pop
Bubblegum,Pop
Poetry,Novelty/Spoken Word
Field Recording,Ambient & Experimental Electronic
hindi pop,World/Traditional
neoperreo,Latin
mambo,Latin
brazilian bass,Bass Music
bubblegum pop,Pop
Death Metal,Metal
Swing,Jazz
black metal,Metal
Parody,Novelty/Spoken Word
Big Band,Jazz
Lounge,New Age/Meditation
Doom Metal,Metal
mizrahi,World/Traditional
Minimal Techno,Techno & Trance
Neo-Romantic,Classical/Orchestral
Hard House,Electronic Dance Music (EDM)
desi,World/Traditional
bounce,Hip Hop/Rap
bhangra,World/Traditional
kuduro,World/Traditional
Indian Classical,World/Traditional
devotional,World/Traditional
Latin Jazz,Jazz
bacardi,Electronic Dance Music (EDM)
Hands Up,Electronic Dance Music (EDM)
epadunk,Hip Hop/Rap
kayokyoku,Pop
merengue,Latin
Garage House,Electronic Dance Music (EDM)
christian pop,Pop
acoustic country,Country/Americana
retro pop,Pop
vocaloid,Electronic Dance Music (EDM)
indie r&b,R&B/Soul
gothic metal,Metal
trap,Hip Hop/Rap
Eurodance,Electronic Dance Music (EDM)
corrido,Latin
Happy Hardcore,Garage & Breaks
Pub Rock,Rock
Marches,Classical/Orchestral
Bluegrass,Folk/Acoustic
Jungle,Garage & Breaks
Glam,Rock
Gypsy Jazz,Jazz
new york drill,Hip Hop/Rap
Modal,Jazz
Smooth Jazz,Jazz
pop worship,Pop
pop,Pop
brazilian phonk,Hip Hop/Rap
Country Blues,Blues
Hardstyle,Garage & Breaks
chinese indie,Alternative/Indie
Psy-Trance,Techno & Trance
Southern Rock,Rock
southern gospel,R&B/Soul
Thrash,Metal
Math Rock,Alternative/Indie
gospel r&b,R&B/Soul
hiplife,World/Traditional
trova,Latin
Space Rock,Rock
brazilian rock,Rock
Musique Concrète,Ambient & Experimental Electronic
Ragga HipHop,Hip Hop/Rap
punjabi pop,World/Traditional
Radioplay,Pop
kizomba,World/Traditional
Arena Rock,Rock
Afro-Cuban Jazz,Jazz
Rockabilly,Rock
Bassline,Bass Music
Boogie,Funk/Disco
Light Music,Pop
Operetta,Classical/Orchestral
boogie,Funk/Disco
Power Metal,Metal
finnish pop,Pop
seresta,Latin
P.Funk,Funk/Disco
Cut-up/DJ,Ambient & Experimental Electronic
latin hip hop,Hip Hop/Rap
lagu jawa,World/Traditional
finnish rock,Rock
Doo Wop,R&B/Soul
arabic hip hop,Hip Hop/Rap
Vaporwave,Ambient & Experimental Electronic
Organ,Classical/Orchestral
electropop,Pop
Euro-Disco,Funk/Disco
chinese rock,Rock
Chinese Classical,Classical/Orchestral
MPB,Latin
sexy drill,Hip Hop/Rap
Electroacoustic,Ambient & Experimental Electronic
brazilian pop,Pop
Post-Modern,Alternative/Indie
Electric Blues,Blues
Ska,Reggae/Caribbean
cumbia,Latin
Freestyle,Hip Hop/Rap
afro adura,World/Traditional
cedm,House & EDM
Oi,Punk/Hardcore
raï,World/Traditional
Bossa Nova,Latin
Broken Beat,Bass Music
Samba,Latin
k-rap,Hip Hop/Rap
Medieval,Classical/Orchestral
Reggae-Pop,Reggae/Caribbean
Darkwave,Ambient & Experimental Electronic
arena rock,Rock
Tribal House,House & EDM
italian trap,Hip Hop/Rap
shatta,World/Traditional
funk melody,Funk/Disco
Impressionist,Classical/Orchestral
Flamenco,World/Traditional
egyptian pop,World/Traditional
Roots Reggae,Reggae/Caribbean
Italodance,House & EDM
asakaa,World/Traditional
Cool Jazz,Jazz
pagode,Latin
mexican indie,Alternative/Indie
Tech Trance,Techno & Trance
Future House,House & EDM
Karaoke,Novelty/Spoken Word
Post Bop,Jazz
Horrorcore,Hip Hop/Rap
Breakcore,Bass Music
Celtic,Folk/Acoustic
Crunk,Hip Hop/Rap
Hip-House,House & EDM
axé,Latin
champeta,Latin
Grindcore,Metal
pop urbaine,Pop
french r&b,R&B/Soul
Batucada,Latin
Salsa,Latin
Goth Rock,Rock
indorock,Rock
rap québécois,Hip Hop/Rap
Nursery Rhymes,Novelty/Spoken Word
Rhythmic Noise,Ambient & Experimental Electronic
k-rock,Rock
finnish hip hop,Hip Hop/Rap
french rap,Hip Hop/Rap
turkish hip hop,Hip Hop/Rap
bongo flava,World/Traditional
Glitch Hop,Bass Music
argentine trap,Hip Hop/Rap
anatolian rock,Rock
Technical,Metal
Dub Techno,Techno & Trance
zouk,Reggae/Caribbean
arabesk,World/Traditional
Hindustani,World/Traditional
Alternative Metal,Metal
dansband,Pop
Avant-garde Jazz,Jazz
Movie Effects,Soundtrack/Instrumental
Hi NRG,House & EDM
bachata,Latin
ghazal,World/Traditional
sierreño,Latin
Tango,Latin
dansktop,Pop
chinese r&b,R&B/Soul
Harsh Noise Wall,Ambient & Experimental Electronic
Political,Novelty/Spoken Word
Donk,House & EDM
Power Electronics,Ambient & Experimental Electronic
Interview,Novelty/Spoken Word
Progressive Metal,Metal
Horror Rock,Rock
Dialogue,Novelty/Spoken Word
mexican hip hop,Hip Hop/Rap
Twelve-tone,Classical/Orchestral
Acid Jazz,Jazz
Future Bass,Bass Music
funk pop,Funk/Disco
Hard Bop,Jazz
Soca,Reggae/Caribbean
Speech,Novelty/Spoken Word
russelåter,Pop
go-go,Funk/Disco
Bhangra,World/Traditional
Mod,Rock
EBM,Ambient & Experimental Electronic
Barbershop,R&B/Soul
iskelmä,Pop
Volksmusik,World/Traditional
Bossanova,Latin
Public Broadcast,Novelty/Spoken Word
Education,Novelty/Spoken Word
moroccan pop,World/Traditional
guaracha,Latin
Educational,Novelty/Spoken Word
brazilian hip hop,Hip Hop/Rap
latin dance,Latin
desi hip hop,Hip Hop/Rap
spanish-language reggae,Reggae/Caribbean
pop country,Country/Americana
k-ballad,Pop
khaleeji,World/Traditional
nueva trova,Latin
anime rap,Hip Hop/Rap
chicha,Latin
marathi pop,World/Traditional
flamenco pop,World/Traditional
Dixieland,Jazz
Pacific,World/Traditional
Symphonic Rock,Rock
punjabi hip hop,Hip Hop/Rap
Hawaiian,World/Traditional
telugu pop,World/Traditional
fado,World/Traditional
Deathcore,Metal
Britpop,Rock
tamil dance,World/Traditional
Berlin-School,Ambient & Experimental Electronic
Dungeon Synth,Ambient & Experimental Electronic
tamil pop,World/Traditional
sad sierreño,Latin
hyphy,Hip Hop/Rap
corridos tumbados,Latin
corridos bélicos,Latin
Balearic,House & EDM
J-pop,Pop
No Wave,Alternative/Indie
tejano,Latin
Goa Trance,Techno & Trance
turkish pop,Pop
indie quebecois,Alternative/Indie
argentine rock,Rock
Makina,House & EDM
tropical music,Latin
Monolog,Novelty/Spoken Word
vallenato,Latin
popular colombian music,Latin
Hyperpop,Pop
qawwali,World/Traditional
Ghetto,Hip Hop/Rap
Cha-Cha,Latin
Skiffle,Folk/Acoustic
Lovers Rock,Reggae/Caribbean
malayalam pop,World/Traditional
kannada pop,World/Traditional
son jarocho,Latin
kompa,Reggae/Caribbean
candombe,Latin
Anison,Pop
brazilian trap,Hip Hop/Rap
Oratorio,Classical/Orchestral
dance,Pop
Speed Metal,Metal
Ragtime,Jazz
taiwanese pop,Pop
Speed Garage,Garage & Breaks
Highlife,World/Traditional
pinoy rock,Rock
Turntablism,Hip Hop/Rap
contemporary r&b,R&B/Soul
colombian pop,Pop
Afro-Cuban,Jazz
Memphis Rap,Hip Hop/Rap
Acid House,House & EDM
Bayou Funk,Funk/Disco
kollywood,Soundtrack/Instrumental
opm,Pop
latin rock,Rock
Reggaeton,Latin
Viking Metal,Metal
rock en español,Rock
pinoy r&b,R&B/Soul
Canzone Napoletana,World/Traditional
dance pop,Pop
DJ Battle Tool,Hip Hop/Rap
dembow,Latin
folk québécois,Folk/Acoustic
enka,World/Traditional
moroccan chaabi,World/Traditional
Rumba,Latin
Mambo,Latin
Kayōkyoku,Pop
Sound Collage,Ambient & Experimental Electronic
folclor andino,World/Traditional
rumba congolaise,World/Traditional
neomelodico,Pop
rock quebecois,Rock
Zouk,Reggae/Caribbean
Acid Rock,Rock
gengetone,World/Traditional
Eurobeat,Pop
indian indie,Alternative/Indie
Latin Pop,Latin
portuguese hip hop,Hip Hop/Rap
G-Funk,Hip Hop/Rap
Ghettotech,House & EDM
Jersey Club,Bass Music
Crust,Punk/Hardcore
maluku,World/Traditional
Huayno,World/Traditional
brega,Latin
tollywood,Soundtrack/Instrumental
Lambada,Latin
chinese hip hop,Hip Hop/Rap
philly club,Bass Music
Aboriginal,World/Traditional
Harmonica Blues,Blues
egyptian shaabi,World/Traditional
timba,Latin
Gabber,Garage & Breaks
Romani,World/Traditional
Unblack Metal,Metal
New Beat,House & EDM
salsa choke,Latin
vinahouse,House & EDM
algerian chaabi,World/Traditional
Beguine,Latin
Nueva Cancion,Latin
egyptian hip hop,Hip Hop/Rap
Jazzdance,Jazz
Basque Music,World/Traditional
Minneapolis Sound,R&B/Soul
Modern Electric Blues,Blues
Népzene,World/Traditional
gujarati pop,World/Traditional
manele,World/Traditional
flamenco urbano,World/Traditional
Ballet,Classical/Orchestral
Baltimore Club,Bass Music
oyun havasi,World/Traditional
Carnatic,World/Traditional
Future Pop,Pop
hindi indie,Alternative/Indie
Seresta,Latin
Choro,Latin
moroccan rap,Hip Hop/Rap
UK Street Soul,R&B/Soul
Witch House,Ambient & Experimental Electronic
bhojpuri pop,World/Traditional
Raï,World/Traditional
Ambient House,House & EDM
Symphonic Metal,Metal
Early,Classical/Orchestral
Depressive Black Metal,Metal
Therapy,New Age/Meditation
Vaudeville,Novelty/Spoken Word
Cabaret,Pop
Mento,Reggae/Caribbean
Atmospheric Black Metal,Metal
c-pop,Pop
pinoy hip hop,Hip Hop/Rap
thai pop,Pop
Ethno-pop,World/Traditional
Pipe & Drum,World/Traditional
Spirituals,R&B/Soul
j-dance,Pop
Sámi Music,World/Traditional
Mandopop,Pop
Nordic,World/Traditional
Gothic Metal,Metal
latin r&b,R&B/Soul
Compas,Reggae/Caribbean
pinoy indie,Alternative/Indie
Power Violence,Punk/Hardcore
Doomcore,Bass Music
Steel Band,Reggae/Caribbean
Mathcore,Metal
City Pop,Pop
country singer-songwriter,Country/Americana
cumbia norteña,Latin
Beatbox,Hip Hop/Rap
Bleep,Ambient & Experimental Electronic
bhojiwood,Soundtrack/Instrumental
Noise Rock,Alternative/Indie
Funk Metal,Metal
cumbia sonidera,Latin
hindi hip hop,Hip Hop/Rap
Cajun,Country/Americana
Deep Techno,Techno & Trance
Musette,World/Traditional
mahraganat,World/Traditional
Catalan Music,World/Traditional
Mariachi,Latin
sandalwood,Soundtrack/Instrumental
Groove Metal,Metal
Special Effects,Soundtrack/Instrumental
Kwaito,World/Traditional
J-Rock,Rock
mexican rock,Rock
mexican ska,Reggae/Caribbean
Cumbia,Latin
trap funk,Hip Hop/Rap
funk carioca,Funk/Disco
pagode baiano,Latin
Psychobilly,Rock
Juke,Bass Music
Footwork,Bass Music
UK Funky,Bass Music
Bolero,Latin
mollywood,Soundtrack/Instrumental
Occitan,World/Traditional
Promotional,Novelty/Spoken Word
Hillbilly,Country/Americana
Louisiana Blues,Blues
Swamp Pop,Country/Americana
Zydeco,Country/Americana
Illbient,Ambient & Experimental Electronic
desi pop,World/Traditional
pop urbano,Pop
Jangle Pop,Pop
Screw,Hip Hop/Rap
Low Bap,Hip Hop/Rap
Cubano,Latin
disco polo,Pop
sertanejo,Latin
Hyphy,Hip Hop/Rap
Neo Trance,Techno & Trance
Halftime,Bass Music
taiwanese indie,Alternative/Indie
visual kei,Rock
